,n_features,n_samples,class_ratio,distributions,balancer,classifier,accuracy,precision,recall,F1 score,ROC AUC Score,cluster distance
109,4,10000,0.01,multivariate_normal 4 feat.,SMOTE,Lightgbm,0.998,0.8695652173913043,0.9523809523809524,0.909090909090909,0.9754325176255444,5.0
110,4,10000,0.01,multivariate_normal 4 feat.,BorderlineSMOTE,Logistic Regression,0.997,0.8,0.9523809523809524,0.8695652173913043,0.9749272119155898,5.0
111,4,10000,0.01,multivariate_normal 4 feat.,BorderlineSMOTE,Decision Tree,0.9955,0.8,0.7619047619047619,0.7804878048780488,0.8799417695324718,5.0
112,4,10000,0.01,multivariate_normal 4 feat.,BorderlineSMOTE,Random Forest,0.997,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9278134700064968,5.0
113,4,10000,0.01,multivariate_normal 4 feat.,BorderlineSMOTE,XGboost,0.9975,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9516229938160206,5.0
114,4,10000,0.01,multivariate_normal 4 feat.,BorderlineSMOTE,Lightgbm,0.997,0.8947368421052632,0.8095238095238095,0.8500000000000001,0.9042565990519504,5.0
115,4,10000,0.01,multivariate_normal 4 feat.,SVMSMOTE,Logistic Regression,0.997,0.8,0.9523809523809524,0.8695652173913043,0.9749272119155898,5.0
116,4,10000,0.01,multivariate_normal 4 feat.,SVMSMOTE,Decision Tree,0.997,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9278134700064968,5.0
117,4,10000,0.01,multivariate_normal 4 feat.,SVMSMOTE,Random Forest,0.9965,0.7916666666666666,0.9047619047619048,0.8444444444444444,0.951117688106066,5.0
118,4,10000,0.01,multivariate_normal 4 feat.,SVMSMOTE,XGboost,0.9965,0.7692307692307693,0.9523809523809524,0.8510638297872339,0.9746745590606126,5.0
119,4,10000,0.01,multivariate_normal 4 feat.,SVMSMOTE,Lightgbm,0.9965,0.7916666666666666,0.9047619047619048,0.8444444444444444,0.951117688106066,5.0
120,6,10000,0.1,multivariate_normal 6 feat.,Unbalanced,Logistic Regression,0.9965,0.9855072463768116,0.9807692307692308,0.983132530120482,0.9895475618131868,5.0
121,6,10000,0.1,multivariate_normal 6 feat.,Unbalanced,Decision Tree,0.98,0.9077669902912622,0.8990384615384616,0.9033816425120774,0.9442178914835164,5.0
122,6,10000,0.1,multivariate_normal 6 feat.,Unbalanced,Random Forest,0.994,0.99,0.9519230769230768,0.9705882352941176,0.9754035027472528,5.0
123,6,10000,0.1,multivariate_normal 6 feat.,Unbalanced,XGboost,0.991,0.965686274509804,0.9471153846153846,0.9563106796116504,0.9716045673076924,5.0
124,6,10000,0.1,multivariate_normal 6 feat.,Unbalanced,Lightgbm,0.9915,0.9658536585365852,0.9519230769230768,0.9588377723970944,0.9740084134615384,5.0
125,6,10000,0.1,multivariate_normal 6 feat.,ADASYN,Logistic Regression,0.982,0.8524590163934426,1.0,0.9203539823008848,0.9899553571428572,5.0
126,6,10000,0.1,multivariate_normal 6 feat.,ADASYN,Decision Tree,0.9835,0.9107981220657276,0.9326923076923076,0.9216152019002376,0.9610448145604396,5.0
127,6,10000,0.1,multivariate_normal 6 feat.,ADASYN,Random Forest,0.988,0.9339622641509434,0.9519230769230768,0.942857142857143,0.9720552884615384,5.0
128,6,10000,0.1,multivariate_normal 6 feat.,ADASYN,XGboost,0.9915,0.9483568075117372,0.971153846153846,0.9596199524940616,0.9825077266483516,5.0
129,6,10000,0.1,multivariate_normal 6 feat.,ADASYN,Lightgbm,0.9895,0.9473684210526316,0.9519230769230768,0.9496402877697842,0.9728923420329668,5.0
130,6,10000,0.1,multivariate_normal 6 feat.,RandomOverSampler,Logistic Regression,0.992,0.9324324324324323,0.9951923076923076,0.9627906976744188,0.9934108859890112,5.0
